Brand,Model,Year,Category,Rating,displacement_cc,power_hp,torque_nm,engine_cyl,engine_stroke,Gearbox,bore_mm,stroke_mm,fuel_cap_lts,fuel_control,cooling,trans_type,dry_weight_kg,wheelbase_mm,seat_height_mm,front_tire,rear_tire,trevors_fav
Kawasaki,versys 650,2020,Allround,4,649,69,64,Twin,Four-Stroke,6-Speed,83,60,21,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,216.1,1415,840,120/70-ZR17,160/60-ZR17,Yes
Kawasaki,versys 650l,2020,Allround,NA,649,52.3,57,Twin,Four-Stroke,6-Speed,83,60,21,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,216,1415,840,120/70-ZR17,160/60-ZR17,Yes
Kawasaki,versys-x 300,2020,Allround,3.4,296,NA,26,Twin,Four-Stroke,6-Speed,62,49,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,175,1450,815,100/90-M19,130/80-M17,No
Kawasaki,versys-x 300 adventure,2020,Allround,NA,296,39.3,25.1,Twin,Four-Stroke,6-Speed,62,49,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1450,845,100/90-M19,130/80-M17,No
Kawasaki,versys-x 300 urban,2020,Allround,NA,296,39.3,25.1,Twin,Four-Stroke,6-Speed,62,49,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,175,1450,845,100/90-M19,130/80-M17,No
Kawasaki,vulcan 1700 abs voyager,2020,Touring,3.6,1700,73,145,V2,Four-Stroke,6-Speed,102,104,20.06,Single Overhead Cams (Sohc),Liquid,Belt,NA,1664,729,130/90-B16,170/70-B16,No
Kawasaki,vulcan 1700 vaquero abs,2020,Touring,NA,1700,NA,145,V2,Four-Stroke,6-Speed,102,104,20.06,Single Overhead Cams (Sohc),Liquid,Belt,NA,1666,729,130/90-16,170/70-16,No
Kawasaki,vulcan 900 classic,2020,Custom / Cruiser,3.6,903,49.6,78,V2,Four-Stroke,5-Speed,88,74.2,20,Single Overhead Cams (Sohc),Liquid,Belt,NA,1645,680,130/70-15,180/70-15,No
Kawasaki,vulcan 900 custom,2020,Custom / Cruiser,3.5,903,49.6,78,V2,Four-Stroke,5-Speed,88,74.2,20,Single Overhead Cams (Sohc),Liquid,Belt,NA,1645,685,80/90-21,180/70-15,No
Kawasaki,vulcan s,2020,Custom / Cruiser,3.6,649,60.4,63,Twin,Four-Stroke,6-Speed,83,60,14,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1575,705,120/70-18,160/60-17,No
Kawasaki,vulcan s  cafe,2020,Custom / Cruiser,NA,649,48,53,Twin,Four-Stroke,6-Speed,83,60,14,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1575,705,120/70-18,160/60-17,No
Kawasaki,vulcan s performance,2020,Custom / Cruiser,NA,649,60.4,63,Twin,Four-Stroke,6-Speed,83,60,14,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1575,705,120/70-18,160/60-17,No
Kawasaki,vulcan s se,2020,Custom / Cruiser,NA,649,46.9,53,Twin,Four-Stroke,NA,83,60,14,Double Overhead Cams/Twin Cam (Dohc),NA,Chain,NA,1575,705,120/70-18,160/60-17,No
Kawasaki,vulcan s tourer,2020,Custom / Cruiser,NA,649,60.4,63,Twin,Four-Stroke,6-Speed,83,60,14,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1575,705,120/70-18,160/60-17,No
Kawasaki,w800,2020,Allround,3.7,773,NA,62.9,V2,Four-Stroke,5-Speed,77,83,15.14,Single Overhead Cams (Sohc),Air,Chain,NA,1466,790,100/90-19,130/80-18,No
Kawasaki,w800 street,2020,Allround,NA,773,46.9,62.9,V2,Four-Stroke,5-Speed,77,83,15.14,Single Overhead Cams (Sohc),Air,Chain,NA,1466,770,100/90-18,130/80-18,No
Kawasaki,z 400 abs,2020,Classic,NA,399,27,38,Twin,Four-Stroke,5-Speed,70,51.8,14,Overhead Cams (Ohc),Air,Chain,NA,1369,785,110/70-17M,150/60-17M,No
Kawasaki,z h2,2020,Naked Bike,3.4,998,NA,137,In-Line Four,Four-Stroke,6-Speed,76,55,18.93,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1455,831,120/70-17,190/55-17,No
Kawasaki,z1000,2020,Naked Bike,3.7,1043,142,111,In-Line Four,Four-Stroke,6-Speed,77,56,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1435,815,120/70-ZR17,190/50-ZR17,No
